,times,values
294,2020-01-20,0.8461069
295,2020-01-21,0.8621326
296,2020-01-22,0.8417062
297,2020-01-23,0.8294271
298,2020-01-24,0.8211362
299,2020-01-25,0.7342654
300,2020-01-26,0.67636925
301,2020-01-27,0.8076157
302,2020-01-28,0.8070017
303,2020-01-29,0.7921625
304,2020-01-30,0.77820355
305,2020-01-31,0.76544863
306,2020-02-01,0.68147194
307,2020-02-02,0.62501645
308,2020-02-03,0.72932905
309,2020-02-04,0.7478928
310,2020-02-05,0.7589878
311,2020-02-06,0.76975465
312,2020-02-07,0.77248853
313,2020-02-08,0.69819957
314,2020-02-09,0.6467871
315,2020-02-10,0.74950445
316,2020-02-11,0.7610084
317,2020-02-12,0.76655835
318,2020-02-13,0.7595322
319,2020-02-14,0.7539541
320,2020-02-15,0.67583215
321,2020-02-16,0.6254534
322,2020-02-17,0.7397977
323,2020-02-18,0.76637185
324,2020-02-19,0.7649413
325,2020-02-20,0.76365167
326,2020-02-21,0.7537447
327,2020-02-22,0.6720725
328,2020-02-23,0.6208721
329,2020-02-24,0.73082775
330,2020-02-25,0.7438207
331,2020-02-26,0.75340533
332,2020-02-27,0.75113744
333,2020-02-28,0.7282926
334,2020-02-29,0.6702633
335,2020-03-01,0.6268737
336,2020-03-02,0.7412963
337,2020-03-03,0.7693212
338,2020-03-04,0.75905824
339,2020-03-05,0.7543652
340,2020-03-06,0.7579955
341,2020-03-07,0.6835324
342,2020-03-08,0.63044286
343,2020-03-09,0.74041754
344,2020-03-10,0.7475665
345,2020-03-11,0.7425614
346,2020-03-12,0.73808897
347,2020-03-13,0.72977453
348,2020-03-14,0.64649755
349,2020-03-15,0.6004358
350,2020-03-16,0.7041243
351,2020-03-17,0.7060506
352,2020-03-18,0.6847991
353,2020-03-19,0.641992
354,2020-03-20,0.64705825
355,2020-03-21,0.61249214
356,2020-03-22,0.58351094
357,2020-03-23,0.65355855
358,2020-03-24,0.66381973
359,2020-03-25,0.6646438
360,2020-03-26,0.6613383
361,2020-03-27,0.66733575
362,2020-03-28,0.6056172
363,2020-03-29,0.54051507
364,2020-03-30,0.61099607
365,2020-03-31,0.58507735
