times,values
2020-02-14,0.7539541
2020-02-15,0.67583215
2020-02-16,0.6254534
2020-02-17,0.7397977
2020-02-18,0.76637185
2020-02-19,0.7649413
2020-02-20,0.76365167
2020-02-21,0.7537447
2020-02-22,0.6720725
2020-02-23,0.6208721
2020-02-24,0.73082775
2020-02-25,0.7438207
2020-02-26,0.75340533
2020-02-27,0.75113744
2020-02-28,0.7282926
2020-02-29,0.6702633
2020-03-01,0.6268737
2020-03-02,0.7412963
2020-03-03,0.7693212
2020-03-04,0.75905824
2020-03-05,0.7543652
2020-03-06,0.7579955
2020-03-07,0.6835324
2020-03-08,0.63044286
2020-03-09,0.74041754
2020-03-10,0.7475665
2020-03-11,0.7425614
2020-03-12,0.73808897
2020-03-13,0.72977453
2020-03-14,0.64649755
2020-03-15,0.6004358
2020-03-16,0.7041243
2020-03-17,0.7060506
2020-03-18,0.6847991
2020-03-19,0.641992
2020-03-20,0.64705825
2020-03-21,0.61249214
2020-03-22,0.58351094
2020-03-23,0.65355855
2020-03-24,0.66381973
2020-03-25,0.6646438
2020-03-26,0.6613383
2020-03-27,0.66733575
2020-03-28,0.6056172
2020-03-29,0.54051507
2020-03-30,0.61099607
2020-03-31,0.58507735
